id,x,y
1-1,189.915435172554,376.796210379963
1-2,186.774206394452,362.354261084667
1-3,202.664085187696,379.970609798965
1-4,197.447038964926,376.511401098905
1-5,199.740125536878,375.056034011749
1-6,169.3242332156,394.470376267715
1-7,196.773825711848,365.145140184891
1-8,216.478974681885,372.65998312861
1-9,208.668589854069,374.746856565346
1-10,197.236721251551,382.786347591398
1-11,188.198901667386,377.449166975712
1-12,192.069032195918,378.100813484056
1-13,219.199057514482,365.935442540166
1-14,186.113965357975,379.932843358094
1-15,190.457856835618,371.763940052373
1-16,182.824483508267,391.53910579056
1-17,228.027725577893,372.892085253742
1-18,189.381905387013,371.904052438102
1-19,157.098568323944,351.360605730533
1-20,206.381359115786,387.794101088331
1-21,181.949530192434,365.253502342135
1-22,189.355452316756,360.892006902392
1-23,201.764131212825,376.930149598464
1-24,179.170070407292,378.817478234287
1-25,211.390804229585,397.064303084822
1-26,179.385308898336,387.678383209681
1-27,184.492419531924,369.634129921048
1-28,170.591615457267,374.574055381942
1-29,191.311540628968,382.75362391669
1-30,185.599011629735,362.624765290784
1-31,206.372362427656,369.778697683352
1-32,198.487515531797,377.190008366415
1-33,215.518915495226,388.196821614285
1-34,185.743255326609,380.008078067273
1-35,202.081121141007,366.57436646101
1-36,168.577996889973,384.259364769417
1-37,194.001611393929,395.739036277618
1-38,210.280509606442,384.199246532825
1-39,199.614041467104,376.743675557842
1-40,174.123899662695,360.899979458146
1-41,184.210778299102,383.205484406606
1-42,196.437112190339,366.691029621811
1-43,187.818314312591,389.894568119855
1-44,168.933206820216,369.47865897215
1-45,194.375024382372,361.345803572529
1-46,198.603874701369,357.115796568636
1-47,210.356372550951,385.07786592609
1-48,208.263239149793,375.064098620509
1-49,182.556629796442,384.218940450029
1-50,210.472349321106,375.028341435696
1-51,186.109408412074,372.058168988353
1-52,211.961239087927,368.642173675392
1-53,189.538321905116,375.490969679651
1-54,168.233909327362,388.547465340356
1-55,210.608050969215,398.854241789226
1-56,188.406610950313,370.440869274846
1-57,156.388901563469,356.801195113432
1-58,197.303475301498,393.265082032673
1-59,184.531292211697,370.146919665565
1-60,201.4112115109,368.820303263279
1-61,184.530362164857,346.194050942653
1-62,172.934512763515,370.74906283329
1-63,195.673280152204,383.878354136617
1-64,193.544170606788,381.15967581231
1-65,201.192345562231,375.533582463662
1-66,171.103476114628,359.753750096297
1-67,201.034612009708,389.131460989896
1-68,190.529456080865,375.564330137213
1-69,213.759833283581,382.435067727824
1-70,177.869169918836,379.417101379715
1-71,186.190220369125,375.782755236266
1-72,167.517287079454,374.905424153829
1-73,186.410764421339,390.750033586089
1-74,191.127631054966,391.763175085955
1-75,198.82983093017,354.557210215987
1-76,178.220365547181,353.269710579077
1-77,182.217575406337,368.383161339293
1-78,185.453665329318,375.536551021035
1-79,183.793425103883,349.959961972343
1-80,193.082954845391,363.296005561842
1-81,203.964571883624,362.529255920231
1-82,177.800141129195,354.525841184066
1-83,188.029884739543,367.717473894609
1-84,193.045364260719,376.222126831956
1-85,189.251220263408,381.843548178064
1-86,227.618509605471,383.268162806769
1-87,211.40621138226,371.461919006074
1-88,160.499773103098,365.765309891047
1-89,161.852700067141,366.050453049627
1-90,211.55396835573,401.489026948864
1-91,180.916566414044,380.210088537083
1-92,195.15807317378,373.303236560909
1-93,194.789842730411,372.082045931247
1-94,193.390238415126,355.064828941819
1-95,188.010896578775,366.652076742095
1-96,180.362818300707,368.624190207482
1-97,198.264147659109,374.931252248104
1-98,158.180218659862,371.753231206162
1-99,214.918730209461,375.652108274406
1-100,192.690598888726,367.023471300811
2-101,180.934517527795,389.021777411882
2-102,164.497150141556,401.691514029632
2-103,154.870425653101,412.901523158588
2-104,161.922457531343,407.474151158185
2-105,148.45494752228,397.885630658312
2-106,170.064906883269,409.894727685876
2-107,168.868702020655,396.460575446496
2-108,162.085772101974,376.081512736554
2-109,154.207070026687,424.44204881832
2-110,195.711853867167,408.07293785543
2-111,176.425105500507,400.049543818467
2-112,187.458092307541,409.597481976763
2-113,163.778379370415,402.041000364878
2-114,172.759081525826,400.013661783271
2-115,165.665759933475,410.778346813267
2-116,179.820623022885,384.533048797452
2-117,185.03446748401,410.650535894292
2-118,181.029848327082,393.592635534619
2-119,196.646625091503,392.070148742525
2-120,149.218176546291,405.951057790635
2-121,150.694326473624,379.384814818866
2-122,170.926753951727,385.759942493771
2-123,190.409866620936,399.514589391763
2-124,159.859093494288,390.61890122649
2-125,163.154388071228,372.500191486993
2-126,171.180677199985,403.876688695475
2-127,168.647008168894,420.491746953075
2-128,189.06464346883,378.625451499077
2-129,141.050063225747,376.58730858473
2-130,189.481541180362,416.215686048843
2-131,179.377290859495,390.522302668936
2-132,158.946466471435,398.470522295213
2-133,163.979368475517,386.466509352308
2-134,178.678868982484,402.426524222692
2-135,142.589019676695,370.015893384782
2-136,183.787736592617,392.726032948323
2-137,174.724051430377,406.351894878756
2-138,152.442451092995,398.060335845298
2-139,172.095937595375,385.109827194804
2-140,155.619073869708,392.237486541634
2-141,171.771134478093,386.212680345441
2-142,168.103234789569,388.006587584746
2-143,161.72132484851,387.786423448883
2-144,163.516865026188,384.776464316806
2-145,160.248316147146,403.701676908051
2-146,179.042768823587,407.08074993885
2-147,155.966927782291,395.52542380729
2-148,160.322139505627,411.372616452238
2-149,152.989161335527,401.96435337482
2-150,157.378615680809,381.601750737829
2-151,168.919038962,402.679809423629
2-152,158.499306862018,390.14282157497
2-153,183.284797339006,383.012229054388
2-154,159.194317047892,401.591872097507
2-155,187.469905644239,415.67276516341
2-156,154.551589704786,382.362501885351
2-157,173.38973413208,403.703205698209
2-158,183.401119881344,407.567328069592
2-159,167.715920749593,404.987334080708
2-160,137.022461671617,382.046828454247
2-161,134.020056574266,394.781358872993
2-162,159.953514762751,403.616013545356
2-163,160.351383509091,401.770434400386
2-164,159.770719019243,382.866362406305
2-165,139.489400808828,390.705245369259
2-166,166.29975373146,385.361562826957
2-167,178.700066531988,418.866432615869
2-168,163.764938220525,375.505925490525
2-169,144.648979918299,408.918196768479
2-170,180.604623890682,382.827334415068
2-171,180.160038200326,375.250857291333
2-172,181.320722105625,389.784719666782
2-173,173.509199858399,389.131940911121
2-174,179.911346656219,383.168974871975
2-175,172.420065215241,403.432849764041
2-176,147.922192250949,399.286632765826
2-177,163.601384975105,385.135713078243
2-178,156.429377147931,378.476234142307
2-179,185.427391371654,385.962946279919
2-180,169.219311376821,396.282816845826
2-181,144.602285410724,400.542382691107
2-182,150.827432202062,364.668011609672
2-183,139.41973311605,391.110339722314
2-184,180.034350132908,410.304023508926
2-185,137.365058629961,382.806770144251
2-186,176.807179820318,384.321598074597
2-187,189.783604363781,385.022400730481
2-188,164.24854600477,416.90690903416
2-189,173.742394100618,397.936339261661
2-190,184.292297283623,421.0992572056
2-191,190.947366176587,397.140245906331
2-192,167.031442626822,400.463753499729
2-193,169.407132886436,399.817494472297
2-194,165.249446910079,395.282592318256
2-195,169.67596723825,399.872325703243
2-196,179.603418996238,385.379794798887
2-197,154.165264629444,397.930290301105
2-198,180.040240324633,404.497236030035
2-199,165.454442095955,395.549924039706
2-200,168.408592736708,395.447092012754
3-201,253.699711621744,304.502826131103
3-202,250.230827516413,318.632978990507
3-203,250.126249112574,302.19305669766
3-204,251.13384321703,309.158536462349
3-205,247.009954141261,313.511850845196
3-206,237.79328097133,323.461107090381
3-207,277.18827694306,302.177959202431
3-208,255.214437528771,303.963732425585
3-209,259.268758853525,316.502428220805
3-210,251.469708811138,314.965347550533
3-211,250.603765712471,294.345114405532
3-212,264.20221593067,299.269264897481
3-213,250.343698904428,330.40576197911
3-214,251.831317515454,315.641248749614
3-215,276.435520362715,330.62452525186
3-216,265.671691301637,315.40112126405
3-217,250.362567757161,302.518914860527
3-218,266.801147873666,309.380724849559
3-219,240.25598036709,330.838567024946
3-220,242.307784110841,316.734913811325
3-221,246.166810650288,300.884209087028
3-222,261.684006470778,305.537586778391
3-223,260.151300580672,328.039617880942
3-224,268.81848077182,298.0410336736
3-225,263.985639675445,311.306064231627
3-226,242.121985320861,298.12905170203
3-227,246.199067736943,299.868907308682
3-228,254.592734623947,300.049789076832
3-229,242.078966898121,320.368029772082
3-230,256.377580815986,285.226845963247
3-231,244.029600394259,309.680145076923
3-232,237.836352906552,299.159270734457
3-233,240.297646188726,307.558411415659
3-234,250.083014925973,318.883215007394
3-235,256.718756475894,312.519208312508
3-236,256.478414306329,291.653621054394
3-237,271.731613681747,303.262698796288
3-238,245.822119125391,298.490602278485
3-239,249.451894228162,330.044393185703
3-240,243.385849702659,334.643628878225
3-241,233.054063195378,297.423111930874
3-242,239.779623214965,321.714204288048
3-243,235.272017242715,291.079015233641
3-244,258.040870059867,316.869950755698
3-245,231.643704425702,296.466143726056
3-246,241.249467659666,309.174471102376
3-247,248.418147902974,302.868928798438
3-248,236.458223428962,322.431997058473
3-249,247.967531802341,314.526942548075
3-250,238.002228207693,317.744616870409
3-251,218.553908683158,309.16641268673
3-252,255.544199043666,312.82281114294
3-253,249.938774098846,298.303400381878
3-254,261.538984680723,327.072125182859
3-255,251.117424204281,305.187752471847
3-256,234.082105363422,302.935201516254
3-257,245.178575242912,299.959646042072
3-258,248.857409939368,323.654130220884
3-259,254.326192798395,313.9958205856
3-260,242.456241965628,308.523718951088
3-261,283.142980559847,301.351933236128
3-262,236.761138759025,293.598605793095
3-263,272.157839246509,311.908460865155
3-264,253.276600619764,304.068231146888
3-265,257.505457644512,300.793935805534
3-266,249.716783912111,301.978738368885
3-267,255.878893827139,300.749994518644
3-268,254.611934122647,300.790242934563
3-269,251.194855040411,300.197878931012
3-270,244.284888182765,321.127291696081
3-271,256.388248446818,334.564608889023
3-272,253.588821821642,307.409410723017
3-273,245.819575788228,308.929789975278
3-274,260.440676009533,303.060252196349
3-275,252.789650189051,295.463097220503
3-276,273.492321746711,294.453798228855
3-277,274.463300651426,307.753943707089
3-278,228.18163904937,315.247126523743
3-279,243.029539647052,311.857779771543
3-280,256.241982988823,285.886843774965
3-281,248.456006816612,306.667953667338
3-282,232.259017449344,292.921937815042
3-283,238.897165487174,282.112155489542
3-284,243.37233376876,307.43705081826
3-285,256.012592906631,302.296168515842
3-286,257.769484746347,311.056114539457
3-287,243.170582765514,328.685350893408
3-288,244.890920120101,311.670391812702
3-289,252.603101998993,308.132278199356
3-290,251.878269323605,357.408504137355
