id,egmm,if.,lof,ocsvm,rkde,scif,svdd
1,-0.151220457,-0.306594625,-0.140087941,-0.020639549,0.057730456,-0.167336085,0.167946722
2,-0.274862513,-0.565294776,-0.186434464,-0.090869202,-0.500095744,-0.181388773,-0.15027477
3,-0.184983409,-0.221215482,-0.149334387,-0.287278724,-0.026198711,-0.159388299,0.126607369
4,-0.190837501,-0.373814961,0.073555075,-0.376683824,-0.444200536,-0.138554138,-0.738254607
5,0.322185635,0.995473565,0.364465824,1.68022544,0.219352577,-0.011271222,0.081256115
6,-0.091533762,-0.145699809,-0.134123225,0.549983857,-0.502898553,-0.181388773,0.606906582
7,-0.234091704,-0.840319804,-0.174095289,-1.830745489,-0.480580205,-0.181388773,0.037628606
8,-0.11775061,-0.237587822,-0.227185811,-0.027557657,-0.504891373,-0.181388773,0.371089217
9,0.925468911,5.964563613,1.390330875,1.684371323,4.895093248,11.09447365,3.580193017
10,-0.173368485,-0.212328833,-0.189736006,-0.097693171,-0.504876937,-0.181388773,0.277625669
11,-0.241243449,-0.805562234,-0.188739965,0.571418552,-0.50198659,-0.181388773,0.86394278
12,0.235245568,-0.464259572,0.154485535,0.774966033,-0.481708172,-0.181388773,0.843929041
13,-0.154338021,-0.511175422,-0.15543816,-0.921815999,-0.133086523,-0.159388299,-0.686176175
14,-0.051706215,-0.027364298,-0.151847876,-0.876934888,0.692356267,-0.035290222,-1.963180822
15,0.141385574,-0.559993212,-0.058155013,-0.830117912,-0.321833462,-0.175812138,0.762455431
16,0.170749297,1.641448895,-0.133052114,0.911123295,-0.458702446,-0.087949439,0.345187291
17,-0.032763683,-0.621678886,-0.203389989,-0.915032162,0.152192207,-0.115361333,-1.106495191
18,-0.097108073,0.324491193,-0.1483691,0.511878106,-0.500664412,-0.181388773,0.161860226
19,-0.196473098,-0.902822389,-0.207102891,-1.741977158,-0.470579469,-0.181388773,0.463118854
20,-0.19299315,-0.665125229,-0.200106959,-1.431654971,-0.319318534,-0.181388773,-0.112459177
21,0.104435779,-0.037592384,-0.18942041,-0.532006194,1.444168719,0.01245857,-2.171204717
22,-0.234976346,-0.647047897,-0.121048511,0.100023696,-0.497792804,-0.181388773,-0.164995241
23,-0.231816148,-0.567568401,-0.159505914,-1.355506672,-0.307067046,-0.136227355,-0.664606491
24,0.00917155,-0.163168021,-0.156715013,-0.40924146,0.53505499,-0.023997515,-1.403619883
25,-0.099551497,0.205100473,0.11848981,1.682709634,-0.297236393,-0.181388773,0.625684716
26,0.019097127,0.34228935,0.041159244,0.981802078,1.127984665,0.129938728,-0.750229291
27,0.004793637,-0.004805678,-0.205757985,-1.239162819,1.027950222,-0.035715557,-2.463493774
28,-0.215556853,-0.300825227,-0.210435792,-0.126426321,-0.505741219,-0.181388773,0.743936621
29,-0.237963345,-0.625000919,-0.188914775,-0.476387249,-0.286510786,-0.136227355,0.007272403
30,-0.07294029,-0.07751191,-0.169568085,-0.277593719,-0.502545028,-0.181388773,-0.230802609
31,0.865137386,0.396898072,0.79243859,1.685368483,-0.36815073,-0.094450311,-0.730734201
32,-0.109674254,0.017238952,-0.149423005,0.42988424,-0.50083816,-0.181388773,0.33179395
33,-0.193145032,-0.50435358,-0.144331026,-0.312013003,-0.381853325,-0.181388773,0.860754616
34,0.151052687,0.60226122,-0.158566528,0.464695935,1.82947437,0.131161752,-0.843982672
35,0.338746028,1.365583954,-0.066718825,0.501881846,2.801556105,0.233769046,-0.694398283
36,-0.285635429,-0.97072178,-0.221429078,-1.860445294,-0.481519361,-0.181388773,-0.101170941
37,-0.027226676,-0.071790524,-0.039590217,-0.236244494,-0.2988199,-0.136227355,0.800484585
38,-0.151308389,-0.416245628,-0.173831781,0.155545049,0.028485365,-0.083818686,-0.066985889
39,-0.211024395,-0.505932561,-0.181775891,-0.238583925,-0.27322641,-0.136227355,0.108942804
40,-0.155201347,-0.389609056,-0.190733824,-0.043238879,-0.505126571,-0.181388773,0.209697943
41,0.30377602,1.347555664,0.194606345,1.681279654,1.549013688,0.288852337,0.010735145
42,-0.014220839,-0.343744978,-0.123761929,-1.073313295,-0.246101617,-0.130629576,0.219994645
43,-0.228965043,-0.639816135,-0.133327888,0.504396256,-0.496659256,-0.181388773,-0.129879672
44,0.655908872,2.005439784,0.124431485,0.572808416,-0.331498081,0.441515371,0.800759164
45,-0.035883912,-0.008063335,-0.161213691,-0.047026513,0.85290133,-0.0469973,-0.851457315
46,-0.254888787,-0.815522378,-0.194526574,-1.353847384,-0.480828684,-0.181388773,0.672942766
47,0.01135118,0.73104934,-0.161049472,0.671630644,-0.50129807,-0.153004978,0.419781178
48,-0.240817115,-0.476640726,-0.185233917,-0.017070758,-0.504300772,-0.181388773,0.398242003
49,-0.102189436,-0.809534275,-0.185185468,-1.809113821,-0.30863439,-0.175812138,-0.029963524
50,-0.165062974,-0.870402965,-0.166335919,-0.398932523,-0.463992825,-0.181388773,0.959221599
51,-0.1532562,-0.973472687,-0.184731904,-1.346208996,-0.485310835,-0.181388773,0.138460017
52,0.257990462,0.830863442,-0.165135306,0.002887518,2.26406819,0.294585003,-0.130993241
53,0.255166002,0.001155066,0.262866027,1.231411086,-0.489263528,-0.181388773,1.230779961
54,0.034146701,-0.804584446,-0.05549135,-1.002776923,-0.478263659,-0.181388773,-0.342251064
55,-0.030898474,1.594092964,0.406750872,1.684706995,0.847136433,0.195958743,-0.579868444
56,-0.095330795,-0.183963738,-0.141855639,0.076927025,-0.502112497,-0.181388773,0.370479042
